"Year","Month","Day","DOY","EVI"
1984,6,10,162,0.67853651
1984,9,7,251,0.61640749
1984,9,23,267,0.54540317
1984,9,30,274,0.48055424
1984,10,16,290,0.26521566
1984,11,1,306,0.14134416
1985,3,2,61,0.16089014
1985,3,25,84,0.16673522
1985,4,10,100,0.17719235
1985,4,26,116,0.19918362
1985,6,22,173,0.70985625
1985,8,9,221,0.67172141
1985,9,1,244,0.57890163
1985,9,17,260,0.56370907
1985,9,26,269,0.41558195
1985,10,12,285,0.37556723
1985,10,28,301,0.21186594
1986,1,7,7,0.15441624
1986,1,16,16,0.15441624
1986,3,28,87,0.18339005
1986,4,13,103,0.1856653
1986,4,29,119,0.19371897
1986,5,15,135,0.31221771
1986,6,9,160,0.69358649
1986,6,16,167,0.04020893
1986,7,11,192,0.67334178
1986,7,18,199,0.61873465
1986,9,13,256,0.52304105
1986,10,15,288,0.26536647
1986,10,22,295,0.20262603
1986,10,31,304,0.17615456
1987,2,11,42,0.15441624
1987,2,27,58,0.15441624
1987,3,8,67,0.15441624
1987,3,15,74,0.15441624
1987,3,24,83,0.15441624
1987,4,25,115,0.20701617
1987,5,2,122,0.17585593
1987,5,18,138,0.31222555
1987,8,6,218,0.62493085
1987,9,23,266,0.59165664
1987,10,9,282,0.40171754
1987,10,25,298,0.2557787
1988,1,29,29,0.15441624
1988,2,14,45,0.15441624
1988,3,1,61,0.15441624
1988,3,17,77,0.15441624
1988,5,4,125,0.18966352
1988,5,13,134,0.24869996
1988,5,29,150,0.59625127
1988,6,5,157,0.62750629
1988,6,14,166,0.65038587
1988,6,21,173,0.59856478
1988,6,30,182,0.78985938
1988,7,16,198,0.69005858
1988,8,1,214,0.68298313
1988,9,2,246,0.57690626
1988,9,25,269,0.48389555
1988,10,20,294,0.18282598
1988,10,27,301,0.24752292
1988,11,12,317,0.20146155
1988,12,14,349,0.15441624
1988,12,30,365,0.13827767
1989,1,24,24,0.14244167
1989,3,13,72,0.19543736
1989,3,20,79,0.14301154
1989,4,5,95,0.17850651
1989,4,14,104,0.20976092
1989,5,7,127,0.20246825
1989,7,3,184,0.6859664
1989,7,19,200,0.66618222
1989,7,26,207,0.65346408
1989,8,4,216,0.71534667
1989,8,27,239,0.5487226
1989,9,5,248,0.61425434
1989,9,28,271,0.53154163
1989,10,14,287,0.32978605
1989,10,23,296,0.24753681
1989,10,30,303,0.19959789
1989,12,17,351,0.15441624
1990,4,24,114,0.16098527
1990,5,3,123,0.20917087
1990,7,29,210,0.66471555
1990,8,30,242,0.55957716
1990,9,8,251,0.61000282
1990,10,1,274,0.47067754
1990,10,17,290,0.31407223
1990,11,11,315,0.20563347
1990,12,20,354,0.16472377
1991,1,5,5,0.08548844
1991,3,10,69,0.15413676
1991,4,4,94,0.18504261
1991,4,11,101,0.18803928
1991,4,27,117,0.19215559
1991,5,13,133,0.36978094
1991,5,22,142,0.62536121
1991,5,29,149,0.67022661
1991,6,7,158,0.72735415
1991,6,23,174,0.65311277
1991,7,9,190,0.72929758
1991,7,16,197,0.65142692
1991,8,1,213,0.61981222
1991,8,17,229,0.59407791
1991,8,26,238,0.63861651
1991,9,2,245,0.57318635
1991,10,4,277,0.40110186
1991,10,13,286,0.32560607
1991,10,20,293,0.25715801
1991,10,29,302,0.19599988
1992,1,1,1,0.15441624
1992,1,8,8,0.12944166
1992,2,2,33,0.15926342
1992,2,9,40,0.15441624
1992,2,18,49,0.1161733
1992,3,21,81,0.15085958
1992,4,6,97,0.17184176
1992,4,13,104,0.16059382
1992,5,15,136,0.21284342
1992,6,9,161,0.6386815
1992,6,16,168,0.65123757
1992,6,25,177,0.26922324
1992,7,11,193,0.69680294
1992,8,19,232,0.55069758
1992,9,20,264,0.54540261
1992,9,29,273,0.53967424
1992,10,6,280,0.49142917
1992,11,16,321,0.18462029
1993,1,10,10,0.11635846
1993,1,19,19,0.15441624
1993,1,26,26,0.12295715
1993,2,11,42,0.15441624
1993,2,20,51,0.15441624
1993,2,27,58,0.15441624
1993,3,15,74,0.15441624
1993,4,25,115,0.19568054
1993,5,2,122,0.18903592
1993,5,11,131,0.35928901
1993,6,3,154,0.6253187
1993,6,12,163,0.63282848
1993,7,5,186,0.65503803
1993,7,14,195,0.68377045
1993,7,30,211,0.65260155
1993,8,31,243,0.65616776
1993,10,2,275,0.49574133
1993,10,18,291,0.36148064
1993,10,25,298,0.24968675
1993,11,10,314,0.18020173
1993,12,12,346,0.15441624
1994,2,7,38,0.15441624
1994,3,2,61,0.15441624
1994,3,18,77,0.15441624
1994,4,28,118,0.19708138
1994,5,14,134,0.24369271
1994,5,21,141,0.3216052
1994,6,22,173,0.67759171
1994,8,9,221,0.60387968
1994,8,25,237,0.60010197
1994,9,3,246,0.59742035
1994,9,10,253,0.55631132
1994,10,12,285,0.36100011
1994,10,28,301,0.2205805
1994,11,22,326,0.18499383
1995,1,9,9,0.15441624
1995,2,1,32,0.10381827
1995,2,17,48,0.15441624
1995,4,6,96,0.17594323
1995,5,8,128,0.15483546
1995,6,9,160,0.61515396
1995,6,18,169,0.68847071
1995,7,4,185,0.73904116
1995,7,20,201,0.71810544
1995,7,27,208,0.67638791
1995,8,21,233,0.6416661
1995,9,6,249,0.64091177
1995,10,24,297,0.26808576
1995,11,9,313,0.21359819
1995,11,16,320,0.15593716
1995,12,2,336,0.15441624
1996,5,26,147,0.4971472
1996,6,27,179,0.61356019
1996,7,29,211,0.59003779
1996,8,14,227,0.59968609
1996,8,30,243,0.58555571
1996,9,15,259,0.56748295
1996,10,1,275,0.511533
1996,10,17,291,0.32747941
1997,1,21,21,0.15346505
1997,4,27,117,0.17408875
1997,5,29,149,0.37946429
1997,6,14,165,0.7519244
1997,6,30,181,0.72573418
1997,10,20,293,0.30620932
1997,11,5,309,0.24165523
1998,2,2,33,0.15441624
1998,2,9,40,0.15441624
1998,4,14,104,0.18649856
1998,5,16,136,0.45821721
1998,6,10,161,0.69153221
1998,7,3,184,0.6755095
1998,8,13,225,0.61304867
1998,8,20,232,0.57976991
1998,8,29,241,0.59932413
1998,11,24,328,0.17220868
1998,12,10,344,0.15164139
1999,3,9,68,0.15441624
1999,3,25,84,0.20052943
1999,4,10,100,0.20889712
1999,4,26,116,0.19096442
1999,5,12,132,0.28980156
1999,5,28,148,0.53797338
1999,6,4,155,0.65484562
1999,7,7,188,0.74285329
1999,7,15,196,0.70530513
1999,7,22,203,0.64418209
1999,7,30,211,0.67767599
1999,7,31,212,0.67205857
1999,8,7,219,0.66643502
1999,8,16,228,0.67095716
1999,8,23,235,0.61835615
1999,8,31,243,0.60936801
1999,9,1,244,0.63058808
1999,9,24,267,0.55963881
1999,9,25,268,0.47371466
1999,10,2,275,0.53668981
1999,10,26,299,0.2898013
1999,10,27,300,0.29963646
1999,11,3,307,0.18216109
1999,11,11,315,0.21381703
1999,11,12,316,0.22758069
1999,11,19,323,0.18062816
1999,11,28,332,0.06470467
1999,12,5,339,0.17674683
2000,1,6,6,0.17565204
2000,1,22,22,0.15441624
2000,1,30,30,0.15441624
2000,2,15,46,0.15441624
2000,2,23,54,0.15441624
2000,3,10,70,0.173501
2000,3,18,78,0.15441624
2000,3,19,79,0.15441624
2000,3,26,86,0.18212063
2000,3,27,87,0.18832961
2000,4,11,102,0.16282136
2000,5,14,135,0.35800281
2000,5,30,151,0.57139589
2000,6,30,182,0.72430489
2000,7,1,183,0.67821549
2000,8,25,238,0.57892917
2000,9,10,254,0.52758397
2000,9,18,262,0.54779438
2000,9,27,271,0.52859581
2000,10,12,286,0.4080246
2000,10,13,287,0.42418737
2000,10,20,294,0.30222811
2000,10,21,295,0.29043452
2000,11,21,326,0.18172599
2000,11,22,327,0.20670293
2000,11,29,334,0.18733579
2000,12,23,358,0.15441624
2001,1,25,25,0.15441624
2001,2,18,49,0.15441624
2001,4,7,97,0.15441624
2001,4,22,112,0.17700789
2001,4,23,113,0.20173668
2001,4,30,120,0.1964539
2001,5,8,128,0.3454801
2001,5,9,129,0.43019705
2001,6,1,152,0.6353518
2001,6,9,160,0.64820176
2001,6,10,161,0.73333251
2001,6,18,169,0.72748434
2001,6,26,177,0.75751387
2001,7,3,184,0.70747805
2001,7,12,193,0.82979811
2001,7,27,208,0.66637672
2001,7,28,209,0.76109003
2001,8,28,240,0.65091288
2001,8,29,241,0.70293246
2001,9,5,248,0.63831486
2001,9,6,249,0.62318564
2001,9,13,256,0.6170145
2001,9,22,265,0.52907438
2001,9,29,272,0.54980864
2001,9,30,273,0.583866
2001,10,24,297,0.29739997
2001,11,1,305,0.26382066
2001,11,8,312,0.23456349
2001,11,9,313,0.24095507
2001,11,17,321,0.22710232
2001,12,3,337,0.22290213
2001,12,10,344,0.15441624
2001,12,11,345,0.03836651
2001,12,19,353,0.15441624
2001,12,26,360,0.17750863
2001,12,27,361,0.1875859
2002,1,3,3,0.1813516
2002,1,20,20,0.15441624
2002,1,27,27,0.15441624
2002,2,5,36,0.15441624
2002,2,28,59,0.15441624
2002,3,25,84,0.15441624
2002,4,10,100,0.20961946
2002,4,17,107,0.19179837
2002,5,4,124,0.232953
2002,5,11,131,0.30033422
2002,6,4,155,0.63844775
2002,6,21,172,0.68146521
2002,6,29,180,0.70749292
2002,7,6,187,0.72755408
2002,7,14,195,0.55049134
2002,7,22,203,0.6753403
2002,7,23,204,0.70192757
2002,7,31,212,0.69231775
2002,8,7,219,0.71060044
2002,8,23,235,0.66912501
2002,9,8,251,0.61482605
2002,9,9,252,0.61690889
2002,9,17,260,0.62453896
2002,10,18,291,0.45168023
2002,10,27,300,0.40869286
2002,11,3,307,0.31532276
2002,11,20,324,0.15441624
2002,12,29,363,0.15441624
2003,1,14,14,0.15441624
2003,1,15,15,0.15441624
2003,1,22,22,0.15441624
2003,1,30,30,0.15441624
2003,2,8,39,0.15441624
2003,2,15,46,0.15441624
2003,3,3,62,0.15441624
2003,3,4,63,0.15441624
2003,3,11,70,0.15441624
2003,3,19,78,0.15441624
2003,3,27,86,0.14885156
2003,4,13,103,0.19825245
2003,4,21,111,0.19139334
2003,4,28,118,0.18033356
2003,4,29,119,0.19188157
2003,5,7,127,0.22553652
2003,6,15,166,0.66800939
2003,6,24,175,0.68277991
2003,7,1,182,0.72548649
2003,7,10,191,0.65671405
2003,7,17,198,0.67304881
2003,7,26,207,0.60274774
2003,8,19,231,0.66552219
2003,8,26,238,0.63619492
2003,8,27,239,0.64997616
2003,9,12,255,0.6083096
2003,10,13,286,0.41178714
2003,11,14,318,0.18083499
2003,11,15,319,0.15963504
2003,11,22,326,0.14118904
2003,12,8,342,0.15441624
2004,1,9,9,0.15441624
2004,1,17,17,0.15441624
2004,1,25,25,0.15441624
2004,2,2,33,0.15441624
2004,2,19,50,0.15441624
2004,2,26,57,0.15441624
2004,3,13,73,0.15441624
2004,3,22,82,0.15441624
2004,3,29,89,0.16837599
2004,4,6,97,0.18416882
2004,4,30,121,0.15738434
2004,5,17,138,0.56449741
2004,6,9,161,0.64067815
2004,7,3,185,0.65499913
2004,7,20,202,0.71796099
2004,8,20,233,0.61617925
2004,8,29,242,0.6306682
2004,9,6,250,0.58246457
2004,9,22,266,0.6100693
2004,10,7,281,0.47411575
2004,10,8,282,0.49866424
2004,11,1,306,0.25709102
2004,11,8,313,0.18697731
2004,12,3,338,0.13336076
2004,12,18,353,0.1658015
2005,1,20,20,0.15441624
2005,1,27,27,0.15441624
2005,2,5,36,0.15441624
2005,2,20,51,0.15441624
2005,3,9,68,0.15441624
2005,3,16,75,0.15441624
2005,3,17,76,0.15441624
2005,4,9,99,0.19101939
2005,4,10,100,0.20140839
2005,4,17,107,0.17768049
2005,4,18,108,0.1969804
2005,4,26,116,0.21605349
2005,5,12,132,0.27275514
2005,5,28,148,0.4677673
2005,6,4,155,0.59604047
2005,6,5,156,0.68501072
2005,6,21,172,0.64308682
2005,7,15,196,0.70199687
2005,8,8,220,0.65786056
2005,9,8,251,0.59485395
2005,9,24,267,0.5578483
2005,10,2,275,0.54551506
2005,10,3,276,0.57477488
2005,11,3,307,0.27666031
2005,11,19,323,0.18964105
2005,11,20,324,0.19476069
2005,12,21,355,0.15441624
2006,2,15,46,0.15441624
2006,2,16,47,0.15441624
2006,3,11,70,0.19485181
2006,3,20,79,0.19287482
2006,3,27,86,0.18140078
2006,4,12,102,0.19403875
2006,4,20,110,0.17630195
2006,4,21,111,0.1927339
2006,4,28,118,0.19383635
2006,4,29,119,0.19682865
2006,5,7,127,0.24599996
2006,5,22,142,0.38488745
2006,5,30,150,0.54299367
2006,5,31,151,0.63733741
2006,6,16,167,0.65838104
2006,7,1,182,0.63170569
2006,7,9,190,0.65908021
2006,7,17,198,0.6442489
2006,7,18,199,0.68420542
2006,7,25,206,0.62399825
2006,7,26,207,0.66441996
2006,8,2,214,0.59332167
2006,8,3,215,0.6628967
2006,8,10,222,0.63351359
2006,9,11,254,0.53015564
2006,9,20,263,0.54467367
2006,10,5,278,0.4455836
2006,10,13,286,0.36268969
2006,10,14,287,0.3537996
2006,10,21,294,0.27585876
2006,10,22,295,0.31665225
2007,1,17,17,0.13533287
2007,2,2,33,0.15705311
2007,3,6,65,0.15441624
2007,3,7,66,0.15441624
2007,3,31,90,0.20388164
2007,4,7,97,0.15441624
2007,4,23,113,0.16885124
2007,4,24,114,0.21756411
2007,5,9,129,0.22119691
2007,5,25,145,0.59650264
2007,6,10,161,0.72672384
2007,6,18,169,0.67499626
2007,6,19,170,0.68492051
2007,6,26,177,0.59211224
2007,7,5,186,0.72997882
2007,7,21,202,0.63715929
2007,8,5,217,0.65063556
2007,8,14,226,0.6819346
2007,8,29,241,0.60784928
2007,8,30,242,0.64363025
2007,9,6,249,0.66188458
2007,9,7,250,0.62883763
2007,9,14,257,0.55995349
2007,9,23,266,0.60106509
2007,10,17,290,0.4769421
2007,11,18,322,0.23262257
2007,11,25,329,0.18330643
2008,1,21,21,0.15441624
2008,2,14,45,0.15441624
2008,2,21,52,0.15441624
2008,2,29,60,0.15441624
2008,3,24,84,0.1182914
2008,3,25,85,0.11644199
2008,4,2,93,0.1775275
2008,4,18,109,0.20778792
2008,4,25,116,0.18895925
2008,5,11,132,0.29657623
2008,5,20,141,0.48606133
2008,5,27,148,0.56390601
2008,6,12,164,0.67654423
2008,6,13,165,0.74363108
2008,6,21,173,0.74849329
2008,6,29,181,0.66641025
2008,7,7,189,0.6514584
2008,7,15,197,0.72892952
2008,7,30,212,0.68332976
2008,7,31,213,0.76949144
2008,8,23,236,0.65201789
2008,8,24,237,0.66731078
2008,8,31,244,0.60972224
2008,9,8,252,0.60992788
2008,9,24,268,0.5847881
2008,10,10,284,0.49658379
2008,10,11,285,0.47901302
2008,10,18,292,0.39177102
2008,11,27,332,0.1698968
2008,12,13,348,0.15441624
2009,1,14,14,0.15441624
2009,1,22,22,0.15441624
2009,1,31,31,0.15441624
2009,2,16,47,0.15441624
2009,2,24,55,0.15441624
2009,3,3,62,0.15441624
2009,3,4,63,0.15441624
2009,3,20,79,0.14459017
2009,4,5,95,0.20515537
2009,4,28,118,0.19435268
2009,4,29,119,0.21925407
2009,5,15,135,0.42860739
2009,5,22,142,0.57773696
2009,5,30,150,0.65108917
2009,5,31,151,0.68231637
2009,7,10,191,0.65210913
2009,7,17,198,0.60084745
2009,8,18,230,0.57361309
2009,8,19,231,0.63222449
2009,8,27,239,0.60380176
2009,9,4,247,0.60898157
2009,9,19,262,0.54244604
2009,9,28,271,0.52515928
2009,10,21,294,0.35630358
2009,10,29,302,0.25480131
2009,11,6,310,0.12132276
2009,11,7,311,0.13449202
2009,11,22,326,0.18547413
2009,12,8,342,0.15441624
2009,12,16,350,0.15441624
2009,12,17,351,0.15441624
2010,1,9,9,0.15441624
2010,1,26,26,0.15441624
2010,3,6,65,0.15441624
2010,4,8,98,0.18468367
2010,4,15,105,0.18026819
2010,4,24,114,0.23584015
2010,5,2,122,0.34906997
2010,5,10,130,0.53143169
2010,5,25,145,0.68128766
2010,5,26,146,0.68783797
2010,6,2,153,0.64755312
2010,6,11,162,0.74382814
2010,6,18,169,0.6558101
2010,7,4,185,0.55605943
2010,7,12,193,0.67982903
2010,7,21,202,0.70448189
2010,7,28,209,0.65212256
2010,7,29,210,0.66456487
2010,8,14,226,0.64599857
2010,8,21,233,0.51584523
2010,8,30,242,0.62632297
2010,9,22,265,0.52056014
2010,9,23,266,0.57412011
2010,10,8,281,0.45934831
2010,10,9,282,0.5071133
2010,10,17,290,0.40221087
2010,11,1,305,0.2669148
2010,11,10,314,0.17675374
2010,12,4,338,0.21835137
2010,12,11,345,0.14485042
2011,1,5,5,0.15441624
2011,2,5,36,0.15441624
2011,3,1,60,0.15441624
2011,3,26,85,0.16245278
2011,4,18,108,0.18646638
2011,5,12,132,0.28333855
2011,5,13,133,0.30163267
2011,5,21,141,0.20525015
2011,6,5,156,0.64238543
2011,6,21,172,0.63371356
2011,7,7,188,0.63663392
2011,7,16,197,0.66588608
2011,7,23,204,0.61796665
2011,8,1,213,0.64782513
2011,8,8,220,0.55341228
2011,8,17,229,0.61411082
2011,9,2,245,0.57451718
2011,9,10,253,0.51016933
2011,9,18,261,0.49801478
2011,10,11,284,0.37175556
2011,11,12,316,0.21603735
2012,1,7,7,0.17674296
2012,2,8,39,0.17247371
2012,3,20,80,0.20786067
2012,6,15,167,0.68706036
2012,6,24,176,0.74051392
2012,7,10,192,0.72653743
2012,9,3,247,0.61055562
2012,9,12,256,0.60309114
2012,9,19,263,0.58261721
2012,10,21,295,0.1260001
2012,10,30,304,0.12008532
2012,11,6,311,0.20386401
2012,11,22,327,0.19647134
2012,12,24,359,0.16265135
2013,2,10,41,0.15441624
2013,4,15,105,0.17056983
2013,4,16,106,0.2357934
2013,4,24,114,0.20744796
2013,5,2,122,0.255232
2013,5,10,130,0.34375736
2013,5,17,137,0.42730271
2013,6,19,170,0.6969556
2013,7,4,185,0.64559154
2013,7,5,186,0.70116367
2013,7,12,193,0.63485296
2013,7,29,210,0.51760299
2013,8,5,217,0.6071028
2013,8,6,218,0.61820743
2013,8,14,226,0.66137527
2013,8,21,233,0.56666056
2013,8,22,234,0.60862811
2013,9,6,249,0.55065921
2013,9,7,250,0.56484553
2013,9,22,265,0.52855045
2013,9,23,266,0.55631468
2013,9,30,273,0.1888231
2013,10,8,281,0.39224657
2013,10,9,282,0.42521813
2013,10,24,297,0.06727956
2013,11,2,306,0.21759572
2013,11,18,322,0.07344686
2013,12,11,345,0.15441624
2014,1,4,4,0.15441624
2014,1,5,5,0.15441624
2014,1,20,20,0.15441624
2014,2,6,37,0.15441624
2014,3,9,68,0.15441624
2014,3,18,77,0.15441624
2014,4,10,100,0.21672114
2014,5,12,132,0.24932036
2014,5,20,140,0.3907379
2014,5,21,141,0.49030615
2014,5,29,149,0.57840182
2014,6,6,157,0.84304506
2014,6,29,180,0.71095305
2014,6,30,181,0.5708195
2014,7,24,205,0.74127297
2014,8,8,220,0.63976172
2014,8,9,221,0.68450218
2014,8,24,236,0.62413798
2014,8,25,237,0.68264012
2014,9,2,245,0.65641384
2014,9,18,261,0.62545547
2014,9,26,269,0.57671106
2014,10,3,276,0.52437806
2014,10,12,285,0.5655887
2014,10,20,293,0.41205005
2014,10,27,300,0.32065225
2014,11,12,316,0.09418194
2014,11,13,317,0.2569957
2014,11,28,332,0.15441624
2014,11,29,333,0.15441624
2014,12,7,341,0.15441624
2014,12,30,364,0.16817783
2015,1,15,15,0.03216331
2015,1,23,23,0.15441624
2015,1,31,31,0.15441624
2015,2,1,32,0.15441624
2015,2,16,47,0.15441624
2015,2,25,56,0.15441624
2015,3,12,71,0.15441624
2015,5,7,127,0.23277111
2015,5,8,128,0.30281754
2015,5,24,144,0.64327319
2015,7,3,184,0.69545655
2015,7,10,191,0.68641715
2015,7,11,192,0.70412897
2015,7,19,200,0.72938473
2015,8,3,215,0.63061434
2015,8,19,231,0.64926783
2015,8,28,240,0.69195224
2015,9,5,248,0.63722424
2015,9,20,263,0.61687063
2015,9,28,271,0.67142663
2015,10,6,279,0.56225278
2015,10,15,288,0.56437487
2015,10,31,304,0.40504671
2015,11,16,320,0.29689587
2015,11,23,327,0.25191829
2015,11,24,328,0.24377808
2015,12,25,359,0.2148323
2016,2,19,50,0.13502472
2016,2,20,51,0.23239178
2016,2,27,58,0.23868288
2016,3,6,66,0.18336466
2016,3,22,82,0.18916725
2016,3,30,90,0.22795111
2016,4,15,106,0.24185643
2016,4,24,115,0.25710835
2016,5,10,131,0.26553054
2016,5,18,139,0.32570285
2016,5,25,146,0.51723047
2016,6,2,154,0.64476869
2016,6,18,170,0.68174351
2016,6,26,178,0.63093903
2016,7,4,186,0.68653419
2016,7,12,194,0.65984457
2016,7,13,195,0.72974915
2016,7,20,202,0.66077862
2016,8,5,218,0.64303573
2016,8,22,235,0.16709296
2016,8,29,242,0.6381622
2016,8,30,243,0.68976037
2016,9,15,259,0.70534569
2016,9,22,266,0.60339913
2016,10,24,298,0.4398852
2016,11,2,307,0.42940142
2016,11,10,315,0.28103857
2016,11,18,323,0.29939087
2016,12,11,346,0.19150034
2016,12,20,355,0.15441624
2017,1,13,13,0.18005604
2017,2,6,37,0.17354525
2017,2,14,45,0.15441624
2017,2,22,53,0.15441624
2017,3,2,61,0.21420829
2017,3,9,68,0.16495518
2017,3,17,76,0.15441624
2017,3,18,77,0.15441624
2017,4,2,92,0.15441624
2017,4,11,101,0.21999866
2017,4,18,108,0.2544516
2017,5,4,124,0.26623975
2017,5,20,140,0.50653688
2017,6,13,164,0.62165066
2017,6,14,165,0.67963094
2017,6,21,172,0.73137951
2017,6,22,173,0.7023973
2017,7,15,196,0.64876506
2017,7,16,197,0.68295839
2017,8,1,213,0.70802187
2017,8,9,221,0.65128648
2017,8,17,229,0.64831764
2017,8,24,236,0.592522
2017,9,1,244,0.59444899
2017,9,2,245,0.64334645
2017,9,25,268,0.55982224
2017,10,3,276,0.51437816
2017,10,4,277,0.57717508
2017,10,12,285,0.49228339
2017,10,20,293,0.51665432
2017,10,27,300,0.39674331
2017,11,12,316,0.28541438
2017,11,21,325,0.2700506
2017,11,28,332,0.25305739
2017,11,29,333,0.23266056
2017,12,7,341,0.24311469
2017,12,14,348,0.15441624
2017,12,31,365,0.15441624
2018,1,7,7,0.15441624
2018,1,15,15,0.20825123
2018,1,31,31,0.22051506
2018,2,17,48,0.19278752
2018,2,24,55,0.17889964
2018,4,5,95,0.22917087
2018,4,21,111,0.23016494
2018,4,22,112,0.20339617
2018,5,7,127,0.2600404
2018,5,8,128,0.22792599
2018,5,23,143,0.56720011
2018,5,24,144,0.60235987
2018,5,31,151,0.63338996
2018,6,16,167,0.68414512
2018,6,17,168,0.75080139
2018,7,3,184,0.73596679
2018,7,10,191,0.69021209
2018,7,18,199,0.6423294
2018,7,19,200,0.73647991
2018,8,19,231,0.54608894
2018,8,28,240,0.53578834
2018,9,5,248,0.65081509
2018,9,29,272,0.5878704
2018,10,14,287,0.48886416
2018,11,8,312,0.36269148
2018,11,23,327,0.15441624
2018,12,1,335,0.15441624
2018,12,9,343,0.17891153
2018,12,10,344,0.23262054
2018,12,25,359,0.17919276
2018,12,26,360,0.22727358
2019,1,2,2,0.19538454
2019,1,3,3,0.15957016
2019,1,11,11,0.18519558
2019,2,28,59,0.15441624
2019,3,7,66,0.15441624
2019,3,8,67,0.15441624
2019,4,1,91,0.28048556
2019,4,16,106,0.20339773
2019,4,17,107,0.2558791
2019,4,24,114,0.25816514
2019,5,18,138,0.30385671
2019,5,26,146,0.56474199
2019,5,27,147,0.58157186
2019,6,3,154,0.60028689
2019,6,12,163,0.71689613
2019,6,27,178,0.60699775
2019,6,28,179,0.69467019
2019,7,5,186,0.6500763
2019,7,6,187,0.7915093
2019,7,21,202,0.64558113
2019,8,30,242,0.6353034
2019,9,7,250,0.61354029
2019,9,15,258,0.6044343
2019,9,23,266,0.52123635
2019,9,24,267,0.71167916
2019,11,2,306,0.27343866
